terrainRandomSeed,x,y,elevation,flow_direction,flow_receive,flow_accumulation,p_soil_formativeErosion,p_soil_depth,p_soil_%sand,p_soil_%silt,p_soil_%clay,p_soil_textureType,p_initEcol_%grass,p_initEcol_%brush,p_initEcol_%wood,p_ecol_coverType,p_soil_saturation,p_soil_fieldCapacity,p_soil_waterHoldingCapacity,p_soil_wiltingPoint,p_soil_deepDrainageCoefficient
35,0,49,1024.6208947870748,32,false,0,0,98.49532423838747,28.17244545336425,22.389771193176955,49.43778335345879,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6140700250905645,0.357,0.1598613099154731,0.1971386900845269,0.9625390797879377
35,1,49,1023.7500163978577,128,false,0,0,118.88335087651359,25.6020861556011,22.168122494779944,52.22979134961895,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6266340610732852,0.357,0.1481348763316004,0.20886512366839957,0.7974674170675793
35,2,49,1024.5935651257957,128,false,0,0,98.39356862542044,31.309878324706112,23.981743442712908,44.708378232580976,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.5927877020466144,0.357,0.1797248114231599,0.17727518857684008,0.963534508202994
35,3,49,1022.1446985951679,128,false,0,0,84.59233919912299,29.585753293512944,18.037716817223558,52.3765298892635,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6272943845016857,0.357,0.1475185744650933,0.20948142553490667,1
35,4,49,1022.8717720548508,128,false,0,0,80.61858087831838,24.05350045036002,24.07804857188825,51.868450977751735,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6250080293998828,0.357,0.14965250589344273,0.20734749410655726,1
35,5,49,1020.8943476224798,128,false,0,0,58.62044431749039,29.175497262133415,21.39949966949735,49.425003068369236,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6140125138076615,0.357,0.1599149871128492,0.19708501288715077,1
35,6,49,1020.2471453843874,128,false,0,0,115.59232525330027,28.81636709074521,19.17366410292876,52.00996880632603,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6256448596284672,0.357,0.14905813101343068,0.2079418689865693,0.8201720879658941
35,7,49,1019.4658774597311,128,false,0,0,123.23492867884852,30.413904949173332,22.947798774061,46.638296276765665,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6014723332454455,0.357,0.1716191556375842,0.18538084436241578,0.7693078559155611
35,8,49,1019.6583582876406,128,false,0,0,126.1264737705106,26.68789757664233,20.58453613153147,52.727566291826214,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6288740483132179,0.357,0.14604422157432992,0.21095577842567007,0.751670889716084
35,9,49,1019.2061624462569,128,false,0,0,101.58111310372749,26.237053296821628,22.679666290116366,51.08328041306199,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6214747618587789,0.357,0.15295022226513963,0.20404977773486035,0.9332994673825166
35,10,49,1018.4823526865166,128,false,0,0,83.21627410687282,29.92416489306343,17.44512855563795,52.63070655129862,Clay,32.87275792523012,32.905263537875044,34.22197853689484,wood-grass,0.6284381794808438,0.357,0.1464510324845458,0.21054896751545418,1
