randomSeed,currentYear,currentDayOfYear,temperature,maxTemperature,minTemperature,solarRadiation,precipitation
8,0,1,16.28485158860467,24.184851588604673,9.48485158860467,7.374665745524105,2.8542461173230342
8,0,2,14.256961071901188,22.156961071901186,7.456961071901188,9.782524434440557,4.5439849487312305
8,0,3,12.623720007957866,20.523720007957866,5.823720007957866,11.698796596680033,1.1891096614779602
8,0,4,17.25443946508063,25.15443946508063,10.454439465080629,7.050485035817424,0
8,0,5,11.711614853118892,19.611614853118894,4.911614853118892,11.087173736929058,0
8,0,6,14.525075218727567,22.425075218727567,7.725075218727567,2.7413799432473356,0
8,0,7,9.841424625816858,17.741424625816858,3.041424625816858,11.028725137792987,0
8,0,8,13.823312291402736,21.723312291402735,7.023312291402736,5.769072173356616,0
8,0,9,15.074468097888733,22.97446809788873,8.274468097888732,12.029273702456383,0
8,0,10,14.89103983311119,22.791039833111192,8.09103983311119,7.542573100774488,0
8,0,11,15.023537737610505,22.923537737610506,8.223537737610506,5.492609114914084,0
8,0,12,15.752703383841283,23.652703383841285,8.952703383841282,13.841043479696172,0
8,0,13,11.827057968335414,19.727057968335416,5.027057968335414,6.208399420449746,0
8,0,14,17.872879133301538,25.772879133301537,11.072879133301537,7.538976476694852,0
8,0,15,13.205218537877217,21.105218537877217,6.405218537877217,18.189265010326327,0
8,0,16,16.388854579937792,24.28885457993779,9.588854579937792,6.767406136837713,0
8,0,17,14.248899020357356,22.148899020357355,7.448899020357357,13.151559173988936,0
8,0,18,12.662879801858232,20.56287980185823,5.862879801858232,11.798067423095999,0
8,0,19,13.463528567807877,21.363528567807876,6.6635285678078775,9.741467571225188,0
8,0,20,13.972781964889055,21.872781964889057,7.172781964889055,6.548431599544858,0
8,0,21,13.887785567462851,21.78778556746285,7.087785567462851,10.83339487992607,0
8,0,22,10.692208259527165,18.592208259527165,3.892208259527165,6.881342002786461,0
8,0,23,17.1547729063258,25.054772906325802,10.354772906325799,10.221122841501309,14.471855216240671
